,price,livingAreaSqFt,median_zip,zip_rank,avgSchoolRating,pr_sf
95,511797.0,3033.0,548501.0,27,7.0,168.74
96,311003.0,2573.0,280777.0,3,3.6666666666666665,120.87
97,659349.0,2340.0,653543.0,33,8.666666666666666,281.77
98,638837.0,3187.0,451466.0,20,7.666666666666668,200.45
99,356097.0,3675.0,548501.0,27,7.0,96.9
100,296012.0,1641.0,230108.0,2,3.0,180.39
101,332156.0,1413.0,287568.0,4,3.6666666666666665,235.07
102,191572.0,1326.0,280777.0,3,2.6666666666666665,144.47
103,202848.0,1203.0,230108.0,2,3.0,168.62
104,798250.0,2922.0,653543.0,33,7.0,273.19
105,490279.0,2428.0,548501.0,27,8.0,201.93
106,235963.0,1256.0,230108.0,2,3.0,187.87
107,356897.0,3047.0,325080.0,8,2.6666666666666665,117.13
108,265995.0,1712.0,230108.0,2,3.0,155.37
109,506531.0,2234.0,653543.0,33,8.666666666666666,226.74
110,178719.0,1315.0,280777.0,3,3.6666666666666665,135.91
111,405315.0,2089.0,653543.0,33,7.0,194.02
112,435434.0,3319.0,287568.0,4,3.6666666666666665,131.19
113,594099.0,3415.0,451466.0,20,7.666666666666668,173.97
114,693386.0,4137.0,548501.0,27,7.0,167.61
115,219578.0,1587.0,230108.0,2,3.0,138.36
116,553346.0,2766.0,548501.0,27,8.0,200.05
117,452801.0,2576.0,653543.0,33,7.0,175.78
118,188932.0,1203.0,230108.0,2,3.0,157.05
119,459838.0,3257.0,451466.0,20,8.333333333333334,141.18
120,314370.0,2505.0,325080.0,8,2.6666666666666665,125.5
121,288011.0,1659.0,280777.0,3,3.6666666666666665,173.61
122,838467.0,3486.0,585276.0,30,8.333333333333334,240.52
123,201804.0,1321.0,230108.0,2,3.0,152.77
124,696757.0,2100.0,874740.0,39,7.0,331.79
125,207336.0,1500.0,230108.0,2,3.0,138.22
126,377838.0,1616.0,653543.0,33,8.666666666666666,233.81
127,349886.0,2046.0,304824.0,7,3.0,171.01
128,192758.0,1411.0,230108.0,2,3.0,136.61
129,214816.0,1892.0,230108.0,2,3.0,113.54
130,1107427.0,4558.0,585276.0,30,8.333333333333334,242.96
131,372700.0,2095.0,287568.0,4,3.6666666666666665,177.9
132,564697.0,2623.0,548501.0,27,7.0,215.29
133,695364.0,1947.0,585276.0,30,7.0,357.15
134,399386.0,2192.0,451466.0,20,8.333333333333334,182.2
135,754541.0,3352.0,653543.0,33,7.666666666666668,225.1
136,203607.0,1268.0,280777.0,3,2.6666666666666665,160.57
137,252039.0,1306.0,280777.0,3,3.6666666666666665,192.99
138,348378.0,2398.0,304824.0,7,3.0,145.28
139,680026.0,4274.0,548501.0,27,7.0,159.11
140,213475.0,1372.0,230108.0,2,3.0,155.59
141,676274.0,2448.0,653543.0,33,7.0,276.26
142,192018.0,1250.0,230108.0,2,3.0,153.61
143,697990.0,3485.0,585276.0,30,8.333333333333334,200.28
144,281207.0,1526.0,280777.0,3,3.6666666666666665,184.28
145,373767.0,2124.0,287568.0,4,3.6666666666666665,175.97
146,425891.0,2965.0,653543.0,33,8.666666666666666,143.64
147,483779.0,3205.0,451466.0,20,8.333333333333334,150.95
148,518249.0,2403.0,280777.0,3,3.6666666666666665,215.67
149,617926.0,3939.0,548501.0,27,7.0,156.87
150,635052.0,2116.0,653543.0,33,8.666666666666666,300.12
151,822798.0,3409.0,451466.0,20,7.666666666666668,241.36
152,1189310.0,3848.0,874740.0,39,7.0,309.07
153,203229.0,1786.0,230108.0,2,3.0,113.79
154,437953.0,2289.0,287568.0,4,3.6666666666666665,191.33
155,292933.0,596.0,585276.0,30,7.0,491.5
156,290572.0,1704.0,280777.0,3,3.6666666666666665,170.52
157,523727.0,2852.0,548501.0,27,8.0,183.63
158,345397.0,2505.0,325080.0,8,2.6666666666666665,137.88
159,199337.0,1206.0,280777.0,3,2.6666666666666665,165.29
160,879519.0,3119.0,653543.0,33,7.0,281.99
161,443728.0,2191.0,451466.0,20,8.333333333333334,202.52
162,75609.0,1160.0,280777.0,3,3.6666666666666665,65.18
163,428344.0,2420.0,287568.0,4,3.6666666666666665,177.0
164,211785.0,2094.0,230108.0,2,3.0,101.14
165,241118.0,1096.0,230108.0,2,3.0,220.0
166,474786.0,2425.0,451466.0,20,7.666666666666668,195.79
167,270481.0,1320.0,280777.0,3,3.6666666666666665,204.91
168,321536.0,1780.0,325080.0,8,3.0,180.64
169,645241.0,2873.0,653543.0,33,8.666666666666666,224.59
170,234419.0,1652.0,230108.0,2,3.0,141.9
171,474302.0,2501.0,287568.0,4,3.6666666666666665,189.64
172,449135.0,2406.0,371194.0,11,6.0,186.67
173,250331.0,1306.0,280777.0,3,3.6666666666666665,191.68
174,956331.0,4362.0,585276.0,30,8.666666666666666,219.24
175,368491.0,1540.0,548501.0,27,7.0,239.28
176,756431.0,2463.0,653543.0,33,7.0,307.12
177,560568.0,2454.0,653543.0,33,8.666666666666666,228.43
178,414903.0,1968.0,451466.0,20,8.333333333333334,210.82
179,318172.0,1821.0,287568.0,4,3.6666666666666665,174.72
180,473812.0,2218.0,548501.0,27,7.0,213.62
181,1170634.0,3371.0,874740.0,39,7.0,347.27
182,463465.0,1555.0,820176.0,38,7.0,298.05
183,622611.0,2647.0,789000.0,37,8.0,235.21
184,822375.0,2373.0,653543.0,33,8.666666666666666,346.55
185,321549.0,1914.0,287568.0,4,3.6666666666666665,168.0
186,226266.0,2088.0,230108.0,2,3.0,108.36
187,383218.0,1861.0,548501.0,27,7.0,205.92
188,236264.0,1344.0,230108.0,2,3.0,175.79
189,789000.0,2410.0,789000.0,37,8.0,327.39
190,776610.0,3227.0,548501.0,27,8.666666666666666,240.66
191,166206.0,704.0,585276.0,30,8.333333333333334,236.09
192,663718.0,3329.0,451466.0,20,7.666666666666668,199.37
193,366166.0,2068.0,287568.0,4,3.6666666666666665,177.06
194,548317.0,3304.0,548501.0,27,7.0,165.96
195,280826.0,1670.0,280777.0,3,3.6666666666666665,168.16
196,1003821.0,2665.0,1022880.0,40,9.0,376.67
197,721484.0,4021.0,646176.0,32,5.666666666666668,179.43
198,655707.0,3559.0,548501.0,27,8.0,184.24
199,519305.0,2357.0,653543.0,33,7.0,220.32
200,346661.0,1982.0,287568.0,4,3.6666666666666665,174.9
201,274425.0,2047.0,230108.0,2,3.0,134.06
202,644185.0,3976.0,548501.0,27,7.0,162.02
203,428340.0,1943.0,585276.0,30,8.333333333333334,220.45
204,808218.0,3689.0,585276.0,30,8.333333333333334,219.09
205,617671.0,3650.0,653543.0,33,8.666666666666666,169.22
206,387869.0,2498.0,653543.0,33,7.0,155.27
207,812552.0,2929.0,789000.0,37,8.0,277.42
208,549337.0,3348.0,585276.0,30,8.333333333333334,164.08
209,367519.0,1746.0,451466.0,20,8.333333333333334,210.49
210,238540.0,1589.0,230108.0,2,3.0,150.12
211,233699.0,1190.0,280777.0,3,3.6666666666666665,196.39
212,457110.0,2299.0,653543.0,33,7.0,198.83
213,1312300.0,4380.0,874740.0,39,7.0,299.61
214,624841.0,2066.0,789000.0,37,8.0,302.44
215,203229.0,1704.0,280777.0,3,2.6666666666666665,119.27
216,462275.0,2960.0,451466.0,20,8.333333333333334,156.17
217,231442.0,1250.0,230108.0,2,3.0,185.15
218,342715.0,2084.0,371194.0,11,6.0,164.45
219,177439.0,1419.0,230108.0,2,3.0,125.05
220,378406.0,1753.0,325080.0,8,4.666666666666667,215.86
221,629650.0,3297.0,585276.0,30,8.333333333333334,190.98
222,468829.0,1649.0,548501.0,27,7.0,284.31
223,676594.0,2698.0,653543.0,33,8.666666666666666,250.78
224,292952.0,1448.0,287568.0,4,3.6666666666666665,202.31
225,310000.0,1370.0,230108.0,2,3.0,226.28
226,822375.0,4056.0,585276.0,30,8.333333333333334,202.76
227,967946.0,3542.0,653543.0,33,8.666666666666666,273.28
228,482639.0,1490.0,653543.0,33,7.0,323.92
229,302772.0,1510.0,280777.0,3,3.6666666666666665,200.51
230,160451.0,1598.0,230108.0,2,3.0,100.41
231,471235.0,2515.0,287568.0,4,3.6666666666666665,187.37
232,674347.0,3458.0,585276.0,30,8.333333333333334,195.01
233,628667.0,3013.0,548501.0,27,7.0,208.65
234,1190044.0,4620.0,874740.0,39,7.0,257.59
235,232166.0,1321.0,230108.0,2,3.0,175.75
236,681389.0,986.0,789000.0,37,8.0,691.06
237,538481.0,2137.0,653543.0,33,7.0,251.98
238,376033.0,2073.0,287568.0,4,3.6666666666666665,181.4
239,1505990.0,4142.0,1022880.0,40,9.0,363.59
240,669258.0,2581.0,653543.0,33,8.666666666666666,259.3
241,238613.0,1405.0,230108.0,2,3.0,169.83
242,948472.0,2895.0,585276.0,30,7.0,327.62
243,638555.0,2648.0,789000.0,37,8.0,241.15
244,1017054.0,3958.0,874740.0,39,7.0,256.96
245,389731.0,2814.0,325080.0,8,3.0,138.5
246,248528.0,1730.0,451466.0,20,8.333333333333334,143.66
247,378478.0,2177.0,287568.0,4,3.6666666666666665,173.85
248,606357.0,2338.0,653543.0,33,9.0,259.35
249,184060.0,1452.0,230108.0,2,3.0,126.76
250,156476.0,1762.0,280777.0,3,3.6666666666666665,88.81
